properties{
  x = 0,
  y = 720,
  width = 3200,
  height = 1920,
  min_layer = 0,
  max_layer = 2,
  world = "dungeon_300",
  floor = 1,
  tileset = "Absolute Dungeon 11",
  music = "same",
}

tile{
  layer = 1,
  x = 3008,
  y = 1248,
  width = 96,
  height = 96,
  pattern = "floor.13-1",
}

tile{
  layer = 1,
  x = 1936,
  y = 920,
  enabled_at_start = false,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1936,
  y = 760,
  enabled_at_start = false,
  width = 24,
  height = 160,
  pattern = "wall.3-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1936,
  y = 736,
  enabled_at_start = false,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1960,
  y = 920,
  enabled_at_start = false,
  width = 560,
  height = 24,
  pattern = "wall.2-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 2520,
  y = 920,
  enabled_at_start = false,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1960,
  y = 736,
  enabled_at_start = false,
  width = 560,
  height = 24,
  pattern = "wall.1-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 2520,
  y = 760,
  enabled_at_start = false,
  width = 24,
  height = 160,
  pattern = "wall.4-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 2520,
  y = 736,
  enabled_at_start = false,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1968,
  y = 760,
  enabled_at_start = false,
  width = 544,
  height = 8,
  pattern = "wall_border.1-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1960,
  y = 912,
  enabled_at_start = false,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 2512,
  y = 912,
  enabled_at_start = false,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1968,
  y = 912,
  enabled_at_start = false,
  width = 544,
  height = 8,
  pattern = "wall_border.2-5",
  tileset = "Absolute Dungeon 10",
}

tile{
  layer = 1,
  x = 1960,
  y = 768,
  enabled_at_start = false,
  width = 8,
  height = 144,
