properties{
  x = 0,
  y = 720,
  width = 3200,
  height = 1920,
  min_layer = 0,
  max_layer = 2,
  world = "dungeon_300",
  floor = -1,
  tileset = "Absolute Dungeon 02",
  music = "same",
}

tile{
  layer = 0,
  x = 1592,
  y = 1040,
  width = 16,
  height = 64,
  pattern = "floor.22-2",
}

tile{
  layer = 0,
  x = 1400,
  y = 1080,
  width = 192,
  height = 8,
  pattern = "wall_low_border.1-5",
}

tile{
  layer = 0,
  x = 1608,
  y = 1032,
  width = 8,
  height = 80,
  pattern = "wall_low_border.4-5",
}

tile{
  layer = 0,
  x = 1392,
  y = 1112,
  width = 224,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = 0,
  x = 1616,
  y = 1016,
  width = 24,
  height = 96,
  pattern = "wall_low.4-1",
}

tile{
  layer = 0,
  x = 1560,
  y = 1016,
  width = 24,
  height = 48,
  pattern = "wall_low.3-1",
}

tile{
  layer = 0,
  x = 1616,
  y = 1112,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = 0,
  x = 1392,
  y = 1056,
  width = 176,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = 0,
  x = 1368,
  y = 1056,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = 0,
  x = 1368,
  y = 1112,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = 0,
  x = 1368,
  y = 1080,
  width = 24,
  height = 32,
  pattern = "wall_low.3-1",
}

tile{
  layer = 0,
  x = 1560,
  y = 1056,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.1-1",
}

tile{
  layer = 0,
  x = 1616,
  y = 784,
  width = 24,
  height = 112,
  pattern = "wall_low.4-1",
}

tile{
  layer = 0,
  x = 1584,
  y = 896,
  width = 32,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = 0,
  x = 1584,
  y = 760,
  width = 32,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = 0,
  x = 1616,
  y = 896,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = 0,
  x = 1616,
  y = 760,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = 0,
  x = 1560,
  y = 896,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = 0,
  x = 1560,
  y = 760,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = 0,
  x = 1560,
  y = 784,
