properties{
  x = 0,
  y = 0,
  width = 1280,
  height = 720,
  min_layer = -1,
  max_layer = 2,
  world = "outside",
  tileset = "Full Hyrule",
  music = "hyrule_field",
}

tile{
  layer = -1,
  x = 600,
  y = 488,
  width = 16,
  height = 232,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 0,
  y = 472,
  width = 608,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 0,
  y = 448,
  width = 592,
  height = 16,
  pattern = "1291",
}

tile{
  layer = -1,
  x = 0,
  y = 440,
  width = 592,
  height = 8,
  pattern = "1289",
}

tile{
  layer = -1,
  x = 0,
  y = 464,
  width = 592,
  height = 16,
  pattern = "1294",
}

tile{
  layer = -1,
  x = 0,
  y = 480,
  width = 592,
  height = 16,
  pattern = "918",
}

tile{
  layer = -1,
  x = 592,
  y = 480,
  width = 16,
  height = 16,
  pattern = "10210",
}

tile{
  layer = -1,
  x = 624,
  y = 480,
  width = 8,
  height = 240,
  pattern = "1312",
}

tile{
  layer = -1,
  x = 608,
  y = 496,
  width = 16,
  height = 224,
  pattern = "1310",
}

tile{
  layer = -1,
  x = 592,
  y = 480,
  width = 16,
  height = 16,
  pattern = "1293",
}

tile{
  layer = -1,
  x = 592,
  y = 464,
  width = 16,
  height = 16,
  pattern = "1290",
}

tile{
  layer = -1,
  x = 608,
  y = 480,
  width = 16,
  height = 16,
  pattern = "1290",
}

tile{
  layer = -1,
  x = 592,
  y = 448,
  width = 16,
  height = 16,
  pattern = "1317",
}

tile{
  layer = -1,
  x = 608,
  y = 464,
  width = 16,
  height = 16,
  pattern = "1317",
}

tile{
  layer = -1,
  x = 592,
  y = 496,
  width = 16,
  height = 224,
  pattern = "921",
}

tile{
  layer = -1,
  x = 592,
  y = 480,
  width = 16,
  height = 16,
  pattern = "922",
}

tile{
  layer = -1,
  x = 0,
  y = 496,
  width = 592,
  height = 224,
  pattern = "11965",
}

tile{
  layer = -1,
  x = 480,
  y = 440,
  width = 8,
  height = 40,
  pattern = "260",
}

tile{
  layer = -1,
  x = 504,
  y = 440,
  width = 8,
  height = 40,
  pattern = "261",
}

tile{
  layer = -1,
  x = 488,
  y = 440,
  width = 16,
  height = 40,
  pattern = "262",
}

tile{
  layer = -1,
  x = 480,
  y = 480,
  width = 8,
  height = 24,
  pattern = "4049",
}

tile{
  layer = -1,
  x = 488,
  y = 480,
  width = 16,
  height = 24,
  pattern = "4051",
}

tile{
  layer = -1,
  x = 504,
  y = 480,
  width = 8,
  height = 24,
  pattern = "4050",
}

tile{
  layer = -1,
  x = 320,
  y = 528,
  width = 48,
  height = 112,
  pattern = "111",
}

tile{
  layer = -1,
  x = 368,
  y = 560,
  width = 88,
  height = 80,
  pattern = "111",
}

tile{
  layer = -1,
  x = 448,
  y = 560,
  width = 96,
  height = 112,
  pattern = "111",
}

tile{
  layer = -1,
  x = 208,
  y = 608,
  width = 48,
  height = 48,
  pattern = "111",
}

tile{
  layer = -1,
  x = 136,
  y = 536,
  width = 16,
  height = 96,
  pattern = "111",
}

tile{
  layer = -1,
  x = 136,
  y = 528,
  width = 16,
  height = 8,
  pattern = "930",
}

tile{
  layer = -1,
  x = 208,
  y = 600,
  width = 48,
  height = 8,
  pattern = "930",
}

tile{
  layer = -1,
  x = 320,
  y = 520,
  width = 48,
  height = 8,
  pattern = "930",
}

tile{
  layer = -1,
  x = 136,
  y = 632,
  width = 16,
  height = 8,
  pattern = "931",
}

tile{
  layer = -1,
  x = 208,
  y = 656,
  width = 48,
  height = 8,
  pattern = "931",
}

tile{
  layer = -1,
  x = 320,
  y = 640,
  width = 112,
  height = 8,
  pattern = "931",
}

tile{
  layer = -1,
  x = 152,
  y = 536,
  width = 8,
  height = 96,
  pattern = "933",
}

tile{
  layer = -1,
  x = 256,
  y = 608,
  width = 8,
  height = 48,
  pattern = "933",
}

tile{
  layer = -1,
  x = 128,
  y = 536,
  width = 8,
  height = 96,
  pattern = "932",
}

tile{
  layer = -1,
  x = 200,
  y = 608,
  width = 8,
  height = 48,
  pattern = "932",
}

tile{
  layer = -1,
  x = 312,
  y = 528,
  width = 8,
  height = 112,
  pattern = "932",
}

tile{
  layer = -1,
  x = 368,
  y = 528,
  width = 8,
  height = 16,
  pattern = "933",
}

tile{
  layer = -1,
  x = 368,
  y = 544,
  width = 16,
  height = 16,
  pattern = "934",
}

tile{
  layer = -1,
  x = 432,
  y = 640,
  width = 16,
  height = 16,
  pattern = "936",
}

tile{
  layer = -1,
  x = 440,
  y = 656,
  width = 8,
  height = 16,
  pattern = "932",
}

tile{
  layer = -1,
  x = 448,
  y = 672,
  width = 96,
  height = 8,
  pattern = "931",
}

tile{
  layer = -1,
  x = 384,
  y = 552,
  width = 160,
  height = 8,
  pattern = "930",
}

tile{
  layer = -1,
  x = 544,
  y = 560,
  width = 8,
  height = 112,
  pattern = "933",
}

tile{
  layer = -1,
  x = 464,
  y = 576,
  width = 64,
  height = 64,
  pattern = "14667",
}

tile{
  layer = -1,
  x = 464,
  y = 576,
  width = 8,
  height = 8,
  pattern = "248",
}

tile{
  layer = -1,
  x = 520,
  y = 576,
  width = 8,
  height = 8,
  pattern = "254",
}

tile{
  layer = -1,
  x = 520,
  y = 632,
  width = 8,
  height = 8,
  pattern = "251",
}

tile{
  layer = -1,
  x = 464,
  y = 632,
  width = 8,
  height = 8,
  pattern = "245",
}

tile{
  layer = -1,
  x = 472,
  y = 576,
  width = 48,
  height = 8,
  pattern = "259",
}

tile{
  layer = -1,
  x = 472,
  y = 632,
  width = 48,
  height = 8,
  pattern = "258",
}

tile{
  layer = -1,
  x = 520,
  y = 584,
  width = 8,
  height = 48,
  pattern = "257",
}

tile{
  layer = -1,
  x = 464,
  y = 584,
  width = 8,
  height = 48,
  pattern = "256",
}

tile{
  layer = -1,
  x = 488,
  y = 584,
  width = 16,
  height = 16,
  pattern = "14667",
}

tile{
  layer = -1,
  x = 488,
  y = 584,
  width = 16,
  height = 16,
  pattern = "728",
}

tile{
  layer = -1,
  x = 488,
  y = 616,
  width = 16,
  height = 16,
  pattern = "14667",
}

tile{
  layer = -1,
  x = 488,
