properties{
  x = 2408,
  y = 468,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  world = "inside_world",
  tileset = "Absolute Dungeon 03",
  music = "syrup_theme",
}

tile{
  layer = 1,
  x = 48,
  y = 16,
  width = 224,
  height = 208,
  pattern = "ceiling.2",
}

tile{
  layer = 1,
  x = 80,
  y = 48,
  width = 160,
  height = 144,
  pattern = "floor.1-2",
}

tile{
  layer = 1,
  x = 112,
  y = 192,
  width = 96,
  height = 8,
  pattern = "wall_border.2-1",
}

tile{
  layer = 1,
  x = 240,
  y = 80,
  width = 8,
  height = 80,
  pattern = "wall_border.4-1",
}

tile{
  layer = 1,
  x = 112,
  y = 40,
  width = 96,
  height = 8,
  pattern = "wall_border.1-1",
}

tile{
  layer = 1,
  x = 72,
  y = 80,
  width = 8,
  height = 80,
  pattern = "wall_border.3-1",
}

tile{
  layer = 1,
  x = 72,
  y = 160,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-1",
}

tile{
  layer = 1,
  x = 96,
  y = 184,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-1",
}

tile{
  layer = 1,
  x = 80,
  y = 168,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-1",
}

tile{
  layer = 1,
  x = 80,
  y = 184,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-1",
}

tile{
  layer = 1,
  x = 56,
  y = 160,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-1",
}

tile{
  layer = 1,
  x = 64,
  y = 168,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-1",
}

tile{
  layer = 1,
  x = 88,
  y = 176,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-1",
}

tile{
  layer = 1,
  x = 72,
  y = 176,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-1",
}

tile{
  layer = 1,
  x = 48,
  y = 152,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-1",
}

tile{
